pixel_num_ratio: 0.577714   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.500000   ;   ouput_choice_idx: 0
pixel_num_ratio: 9.300000   ;   ouput_choice_idx: 1
pixel_num_ratio: 6.789000   ;   ouput_choice_idx: 0
pixel_num_ratio: 10.416000   ;   ouput_choice_idx: 1
pixel_num_ratio: 6.300000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.248000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.737000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.655000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.368800   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.028667   ;   ouput_choice_idx: 2
pixel_num_ratio: 8.930000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.476200   ;   ouput_choice_idx: 1
pixel_num_ratio: 2.891000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.688667   ;   ouput_choice_idx: 2
pixel_num_ratio: 9.639000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.440500   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.887200   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.647000   ;   ouput_choice_idx: 1
pixel_num_ratio: 2.225000   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.781000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.535333   ;   ouput_choice_idx: 1
pixel_num_ratio: 9.880000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.097500   ;   ouput_choice_idx: 0
pixel_num_ratio: 6.716000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.659500   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.266500   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.026000   ;   ouput_choice_idx: 2
pixel_num_ratio: 9.438000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.416000   ;   ouput_choice_idx: 0
pixel_num_ratio: 6.105000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.715250   ;   ouput_choice_idx: 2
pixel_num_ratio: 14.859000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.099833   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.100000   ;   ouput_choice_idx: 2
pixel_num_ratio: 10.591000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.128000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.674000   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.568000   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.278000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.000000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.300000   ;   ouput_choice_idx: 1
pixel_num_ratio: 9.047000   ;   ouput_choice_idx: 1
pixel_num_ratio: 4.410000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.775500   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.688000   ;   ouput_choice_idx: 1
pixel_num_ratio: 3.415500   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.059000   ;   ouput_choice_idx: 2
pixel_num_ratio: 9.228000   ;   ouput_choice_idx: 0
pixel_num_ratio: 7.176000   ;   ouput_choice_idx: 1
pixel_num_ratio: 4.970000   ;   ouput_choice_idx: 0
pixel_num_ratio: 8.091000   ;   ouput_choice_idx: 0
pixel_num_ratio: 7.175000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.340600   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.046800   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.994400   ;   ouput_choice_idx: 0
pixel_num_ratio: 9.064000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.666667   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.650000   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.676667   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.262000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.628000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.944000   ;   ouput_choice_idx: 2
pixel_num_ratio: 14.986000   ;   ouput_choice_idx: 0
pixel_num_ratio: 12.827000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.336333   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.363667   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.554143   ;   ouput_choice_idx: 1
pixel_num_ratio: 8.370000   ;   ouput_choice_idx: 2
pixel_num_ratio: 3.748500   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.029000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.074833   ;   ouput_choice_idx: 2
pixel_num_ratio: 13.054000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.118000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.660000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.746000   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.715000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.640000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.001125   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.790500   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.545500   ;   ouput_choice_idx: 1
pixel_num_ratio: 2.062333   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.231500   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.527000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.506000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.627000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.965000   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.032000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.965500   ;   ouput_choice_idx: 1
pixel_num_ratio: 4.466000   ;   ouput_choice_idx: 1
pixel_num_ratio: 3.081000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.696000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.959667   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.552000   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.818000   ;   ouput_choice_idx: 1
pixel_num_ratio: 6.083000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.403333   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.410000   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.232000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.410000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.260667   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.052500   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.992000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.692750   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.312667   ;   ouput_choice_idx: 2
pixel_num_ratio: 3.995000   ;   ouput_choice_idx: 1
pixel_num_ratio: 7.616000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.586250   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.692000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.172818   ;   ouput_choice_idx: 2
pixel_num_ratio: 16.129000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.115000   ;   ouput_choice_idx: 0
pixel_num_ratio: 10.031500   ;   ouput_choice_idx: 0
pixel_num_ratio: 7.189000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.992556   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.259333   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.436600   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.298000   ;   ouput_choice_idx: 1
pixel_num_ratio: 5.734000   ;   ouput_choice_idx: 2
pixel_num_ratio: 3.195000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.644000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.334000   ;   ouput_choice_idx: 0
pixel_num_ratio: 8.941500   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.343333   ;   ouput_choice_idx: 2
pixel_num_ratio: 3.468000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.994000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.127167   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.247500   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.551000   ;   ouput_choice_idx: 1
pixel_num_ratio: 8.480000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.354000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.528000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.811667   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.020333   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.088000   ;   ouput_choice_idx: 1
pixel_num_ratio: 7.242000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.160667   ;   ouput_choice_idx: 2
pixel_num_ratio: 3.944000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.310000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.587500   ;   ouput_choice_idx: 2
pixel_num_ratio: 9.048000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.226750   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.462500   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.588000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.063000   ;   ouput_choice_idx: 2
pixel_num_ratio: 13.398500   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.232000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.506000   ;   ouput_choice_idx: 2
pixel_num_ratio: 9.340000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.596250   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.872000   ;   ouput_choice_idx: 0
pixel_num_ratio: 13.589000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.550000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.460500   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.342000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.680000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.941500   ;   ouput_choice_idx: 1
pixel_num_ratio: 3.133000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.840000   ;   ouput_choice_idx: 1
pixel_num_ratio: 8.064000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.790500   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.000000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.111000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.717333   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.932000   ;   ouput_choice_idx: 1
pixel_num_ratio: 5.428000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.763000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.447000   ;   ouput_choice_idx: 1
pixel_num_ratio: 3.839500   ;   ouput_choice_idx: 2
pixel_num_ratio: 8.262000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.418000   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.464000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.622500   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.997333   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.745000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.120000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.800000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.423133   ;   ouput_choice_idx: 2
pixel_num_ratio: 7.722000   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.552500   ;   ouput_choice_idx: 2
pixel_num_ratio: 14.514000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.168000   ;   ouput_choice_idx: 1
pixel_num_ratio: 8.975500   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.769800   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.720333   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.568800   ;   ouput_choice_idx: 1
pixel_num_ratio: 2.622000   ;   ouput_choice_idx: 1
pixel_num_ratio: 2.937000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.360000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.115667   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.152000   ;   ouput_choice_idx: 2
pixel_num_ratio: 7.147500   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.444737   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.870000   ;   ouput_choice_idx: 2
pixel_num_ratio: 11.938000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.255333   ;   ouput_choice_idx: 2
